url,slug,intent,tab,checked_at,gsc_index_status,gsc_last_crawl,notes
https://www.gateo.kr/place/paris/gallery,paris,gallery,gallery,,,,tier1
https://www.gateo.kr/place/paris/planner,paris,travel,planner,,,,tier1
https://www.gateo.kr/place/bangkok/gallery,bangkok,gallery,gallery,,,,tier1
https://www.gateo.kr/place/bangkok/planner,bangkok,travel,planner,,,,tier1
https://www.gateo.kr/place/barcelona/gallery,barcelona,gallery,gallery,,,,tier1
https://www.gateo.kr/place/barcelona/planner,barcelona,travel,planner,,,,tier1
https://www.gateo.kr/place/jeju/gallery,jeju,gallery,gallery,,,,tier1
https://www.gateo.kr/place/jeju/planner,jeju,travel,planner,,,,tier1
https://www.gateo.kr/place/cairo/gallery,cairo,gallery,gallery,,,,tier1
https://www.gateo.kr/place/cairo/planner,cairo,travel,planner,,,,tier1
https://www.gateo.kr/place/hong-kong/gallery,hong-kong,gallery,gallery,,,,tier1
https://www.gateo.kr/place/hong-kong/planner,hong-kong,travel,planner,,,,tier1
https://www.gateo.kr/place/angkor-wat/gallery,angkor-wat,gallery,gallery,,,,tier1
https://www.gateo.kr/place/angkor-wat/planner,angkor-wat,travel,planner,,,,tier1
https://www.gateo.kr/place/dubai/gallery,dubai,gallery,gallery,,,,tier1
https://www.gateo.kr/place/dubai/planner,dubai,travel,planner,,,,tier1
https://www.gateo.kr/place/kyoto/gallery,kyoto,gallery,gallery,,,,tier1
https://www.gateo.kr/place/kyoto/planner,kyoto,travel,planner,,,,tier1
https://www.gateo.kr/place/prague/gallery,prague,gallery,gallery,,,,tier1
https://www.gateo.kr/place/prague/planner,prague,travel,planner,,,,tier1
https://www.gateo.kr/place/rio-de-janeiro/gallery,rio-de-janeiro,gallery,gallery,,,,tier1
https://www.gateo.kr/place/rio-de-janeiro/planner,rio-de-janeiro,travel,planner,,,,tier1
https://www.gateo.kr/place/budapest/gallery,budapest,gallery,gallery,,,,tier1
https://www.gateo.kr/place/budapest/planner,budapest,travel,planner,,,,tier1
https://www.gateo.kr/place/osaka/gallery,osaka,gallery,gallery,,,,tier1
https://www.gateo.kr/place/osaka/planner,osaka,travel,planner,,,,tier1
https://www.gateo.kr/place/sydney/gallery,sydney,gallery,gallery,,,,tier1
https://www.gateo.kr/place/sydney/planner,sydney,travel,planner,,,,tier1
https://www.gateo.kr/place/venice/gallery,venice,gallery,gallery,,,,tier1
https://www.gateo.kr/place/venice/planner,venice,travel,planner,,,,tier1
https://www.gateo.kr/place/shanghai/gallery,shanghai,gallery,gallery,,,,tier1
https://www.gateo.kr/place/shanghai/planner,shanghai,travel,planner,,,,tier1
